ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS31265,31265.TXT,0.16389,0.05791,0.08558,4

ROUGE-L+StopWordRemoval,FNS32113,32113.TXT,0.25172,0.20176,0.22399,4

ROUGE-1+StopWordRemoval,FNS32113,32113.TXT,0.32153,0.20768,0.25236,4

ROUGE-2+StopWordRemoval,FNS32113,32113.TXT,0.13839,0.07917,0.10072,4

ROUGE-SU4+StopWordRemoval,FNS32113,32113.TXT,0.21872,0.10658,0.14332,4

ROUGE-L+StopWordRemoval,FNS32355,32355.TXT,0.28874,0.21951,0.24941,3

ROUGE-1+StopWordRemoval,FNS32355,32355.TXT,0.34706,0.27823,0.30885,3

ROUGE-2+StopWordRemoval,FNS32355,32355.TXT,0.10113,0.07607,0.08683,3

ROUGE-SU4+StopWordRemoval,FNS32355,32355.TXT,0.17808,0.13399,0.15292,3

ROUGE-L+StopWordRemoval,FNS32597,32597.TXT,0.34276,0.09165,0.14463,4

ROUGE-1+StopWordRemoval,FNS32597,32597.TXT,0.49413,0.11822,0.19079,4

ROUGE-2+StopWordRemoval,FNS32597,32597.TXT,0.24965,0.04763,0.08000,4

ROUGE-SU4+StopWordRemoval,FNS32597,32597.TXT,0.33481,0.05897,0.10028,4

ROUGE-L+StopWordRemoval,FNS31146,31146.TXT,0.23071,0.21488,0.22251,3

ROUGE-1+StopWordRemoval,FNS31146,31146.TXT,0.25173,0.28280,0.26636,3

ROUGE-2+StopWordRemoval,FNS31146,31146.TXT,0.10956,0.08763,0.09737,3

ROUGE-SU4+StopWordRemoval,FNS31146,31146.TXT,0.17438,0.11904,0.14149,3

ROUGE-L+StopWordRemoval,FNS31026,31026.TXT,0.22570,0.16203,0.18864,3

ROUGE-1+StopWordRemoval,FNS31026,31026.TXT,0.29692,0.21501,0.24941,3

ROUGE-2+StopWordRemoval,FNS31026,31026.TXT,0.11834,0.07327,0.09051,3

ROUGE-SU4+StopWordRemoval,FNS31026,31026.TXT,0.19943,0.10892,0.14089,3

ROUGE-L+StopWordRemoval,FNS32236,32236.TXT,0.35002,0.20800,0.26094,3

ROUGE-1+StopWordRemoval,FNS32236,32236.TXT,0.45531,0.16013,0.23694,3

ROUGE-2+StopWordRemoval,FNS32236,32236.TXT,0.20968,0.07329,0.10862,3

ROUGE-SU4+StopWordRemoval,FNS32236,32236.TXT,0.25572,0.09234,0.13568,3

ROUGE-L+StopWordRemoval,FNS32599,32599.TXT,0.27099,0.18526,0.22007,5

ROUGE-1+StopWordRemoval,FNS32599,32599.TXT,0.32123,0.23720,0.27289,5

ROUGE-2+StopWordRemoval,FNS32599,32599.TXT,0.13765,0.08535,0.10537,5

ROUGE-SU4+StopWordRemoval,FNS32599,32599.TXT,0.21780,0.12102,0.15559,5

ROUGE-L+StopWordRemoval,FNS31940,31940.TXT,0.37560,0.18693,0.24963,4

ROUGE-1+StopWordRemoval,FNS31940,31940.TXT,0.40953,0.23126,0.29560,4

ROUGE-2+StopWordRemoval,FNS31940,31940.TXT,0.21084,0.09494,0.13092,4

ROUGE-SU4+StopWordRemoval,FNS31940,31940.TXT,0.28228,0.12509,0.17335,4

ROUGE-L+StopWordRemoval,FNS32116,32116.TXT,0.34879,0.16397,0.22308,3

ROUGE-1+StopWordRemoval,FNS32116,32116.TXT,0.42111,0.18827,0.26021,3

ROUGE-2+StopWordRemoval,FNS32116,32116.TXT,0.16074,0.06699,0.09457,3

ROUGE-SU4+StopWordRemoval,FNS32116,32116.TXT,0.21845,0.09802,0.13532,3

ROUGE-L+StopWordRemoval,FNS32359,32359.TXT,0.39604,0.17687,0.24453,3

ROUGE-1+StopWordRemoval,FNS32359,32359.TXT,0.50838,0.16310,0.24697,3

ROUGE-2+StopWordRemoval,FNS32359,32359.TXT,0.27518,0.07138,0.11336,3

ROUGE-SU4+StopWordRemoval,FNS32359,32359.TXT,0.32956,0.08407,0.13396,3

ROUGE-L+StopWordRemoval,FNS31942,31942.TXT,0.39409,0.22705,0.28811,3

ROUGE-1+StopWordRemoval,FNS31942,31942.TXT,0.49797,0.08872,0.15061,3

ROUGE-2+StopWordRemoval,FNS31942,31942.TXT,0.25176,0.04854,0.08138,3

ROUGE-SU4+StopWordRemoval,FNS31942,31942.TXT,0.29024,0.05733,0.09574,3

ROUGE-L+StopWordRemoval,FNS30854,30854.TXT,0.32912,0.16132,0.21652,4

ROUGE-1+StopWordRemoval,FNS30854,30854.TXT,0.40709,0.20541,0.27304,4

ROUGE-2+StopWordRemoval,FNS30854,30854.TXT,0.15644,0.06474,0.09158,4

ROUGE-SU4+StopWordRemoval,FNS30854,30854.TXT,0.25986,0.09858,0.14294,4

ROUGE-L+StopWordRemoval,FNS30852,30852.TXT,0.36434,0.22867,0.28099,3

ROUGE-1+StopWordRemoval,FNS30852,30852.TXT,0.35613,0.29370,0.32191,3

ROUGE-2+StopWordRemoval,FNS30852,30852.TXT,0.15488,0.11518,0.13211,3

ROUGE-SU4+StopWordRemoval,FNS30852,30852.TXT,0.21958,0.16600,0.18907,3

ROUGE-L+StopWordRemoval,FNS31260,31260.TXT,0.18522,0.14261,0.16114,3

ROUGE-1+StopWordRemoval,FNS31260,31260.TXT,0.23705,0.19704,0.21520,3

ROUGE-2+StopWordRemoval,FNS31260,31260.TXT,0.07718,0.05961,0.06727,3

ROUGE-SU4+StopWordRemoval,FNS31260,31260.TXT,0.12710,0.09277,0.10726,3

ROUGE-L+StopWordRemoval,FNS30850,30850.TXT,0.32104,0.19644,0.24374,3

ROUGE-1+StopWordRemoval,FNS30850,30850.TXT,0.41351,0.25043,0.31194,3

ROUGE-2+StopWordRemoval,FNS30850,30850.TXT,0.13624,0.08481,0.10454,3

ROUGE-SU4+StopWordRemoval,FNS30850,30850.TXT,0.24113,0.14526,0.18130,3

ROUGE-L+StopWordRemoval,FNS31383,31383.TXT,0.19865,0.19235,0.19545,4

ROUGE-1+StopWordRemoval,FNS31383,31383.TXT,0.20620,0.23474,0.21955,4

ROUGE-2+StopWordRemoval,FNS31383,31383.TXT,0.05154,0.04588,0.04854,4

ROUGE-SU4+StopWordRemoval,FNS31383,31383.TXT,0.11025,0.09002,0.09911,4

